"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.02472603666739e-22,0.409522911177486,0.263,0.037,3.29584904248717e-18,"4","Mad2l1"
2.89537680935639e-22,0.427449194272484,0.278,0.043,4.71309437027034e-18,"4","Incenp"
3.56573957117043e-22,0.427430776771424,1,1,5.80431087395122e-18,"4","Rps11"
3.6692059045832e-22,0.477687942416372,0.293,0.049,5.97273337148053e-18,"4","Cenpm"
3.73273103754049e-22,0.512866161508248,1,1,6.07613958290841e-18,"4","Rps7"
9.90146164806711e-22,0.46252480869608,1,1,1.61175992707236e-17,"4","Rpl23a"
1.02414142222276e-21,0.539466465660063,0.338,0.07,1.6670974070942e-17,"4","Lmnb1"
1.18634425402807e-21,0.406697975980078,1,1,1.93113117670689e-17,"4","Uba52"
1.23176974987414e-21,0.492468986122894,0.338,0.068,2.00507479884512e-17,"4","Lef1"
1.27243938232709e-21,0.489920054292199,1,0.999,2.07127682655204e-17,"4","Rps27a"
1.2877530931299e-21,0.574052340415025,1,0.998,2.09620448499685e-17,"4","Rpl12"
2.68872533966823e-21,0.944462515624849,0.857,0.587,4.37670710791194e-17,"4","Hmgn2"
3.16515226307907e-21,0.474748695688348,1,1,5.15223485384011e-17,"4","Rps20"
3.20775891016969e-21,0.706005806326887,1,0.995,5.22158995397423e-17,"4","Eef1b2"
4.45164979485644e-21,0.513671795836941,1,1,7.24639553606731e-17,"4","Rpl31"
7.10803629283206e-21,0.427459532108069,1,1,1.1570461477472e-16,"4","Rpl35"
9.76219866828133e-21,0.439785318751641,1,1,1.58909069922283e-16,"4","Rpl23"
1.23163869207214e-20,0.878384154840823,0.466,0.133,2.00486146295503e-16,"4","Smpd3"
1.77719328347174e-20,0.603500298511638,0.398,0.105,2.8929152268353e-16,"4","Mcm7"
2.34148304950208e-20,0.416839441236245,1,1,3.81146610797949e-16,"4","Rplp2"
5.07327386470275e-20,0.680034146700937,0.609,0.242,8.25827519696314e-16,"4","Dnm3"
7.52165652750564e-20,0.444133987016741,1,1,1.22437524954737e-15,"4","Rps13"
9.51206769966078e-20,0.769086364229613,0.331,0.077,1.54837438015078e-15,"4","Tyms"
9.65074587824189e-20,0.596492050666122,0.406,0.112,1.57094841406021e-15,"4","Crabp2"
1.07741456240054e-19,0.432238266652528,1,1,1.75381542467561e-15,"4","Rpl15"
1.13204906286453e-19,0.455348504638791,1,1,1.84274946453089e-15,"4","Rpl35a"
1.48947392144937e-19,0.994821728816675,0.609,0.266,2.42456564933529e-15,"4","H2afx"
1.55093478845073e-19,0.446269053863277,1,0.999,2.52461164864011e-15,"4","Rps12"
1.76975923625888e-19,0.384257833806037,1,1,2.8808140847822e-15,"4","Rplp1"
2.289325650377e-19,0.538445875844039,0.308,0.065,3.72656429368367e-15,"4","Lig1"
3.89506954416835e-19,0.475625868858899,1,1,6.34039420399725e-15,"4","Rps4x"
4.72210166586034e-19,0.523115135199371,1,1,7.68663709168746e-15,"4","Hsp90ab1"
7.8232370935175e-19,0.634877101979593,0.97,0.901,1.27346653408278e-14,"4","Srsf2"
9.31092998189954e-19,0.724215572664525,0.564,0.216,1.51563318245361e-14,"4","Dlx6os1"
1.3183302763685e-18,0.616985534755516,0.992,0.998,2.14597802387265e-14,"4","Rbm3"
1.44402630707037e-18,0.559412041749331,0.391,0.109,2.35058602264915e-14,"4","Gm46241"
1.68988344765227e-18,0.532742402453124,1,0.999,2.75079227608837e-14,"4","Naca"
1.91960572206041e-18,0.730474597465165,0.632,0.293,3.12473419436994e-14,"4","Slc29a1"
2.11812484246828e-18,0.529943691541557,1,0.999,3.44788361856986e-14,"4","Rpl29"
2.12318548752259e-18,1.36968422731175,0.436,0.153,3.45612133658927e-14,"4","Cks2"
2.25118810062688e-18,0.459542869400165,1,1,3.66448399020044e-14,"4","Ppia"
3.30687131421198e-18,0.66535336304575,0.902,0.697,5.38292512527426e-14,"4","Set"
5.35676182416777e-18,0.361268471671504,1,1,8.7197368973803e-14,"4","Rpl14"
7.31016907208501e-18,0.444932068531525,1,1,1.189949321554e-13,"4","Rps25"
9.09339605546693e-18,0.426186649311987,1,1,1.48022300990891e-13,"4","Rps9"
1.79851982201066e-17,0.824037813923718,0.925,0.828,2.92763056626894e-13,"4","Anp32b"
1.95099222428408e-17,0.489447634147657,0.383,0.112,3.17582514268962e-13,"4","Cdca7"
2.44867381398484e-17,0.612322832781799,0.541,0.219,3.98595123440453e-13,"4","Frzb"
3.02581735059745e-17,0.488780170405991,0.406,0.121,4.92542548330253e-13,"4","Foxd2os"
3.24657328668274e-17,0.842625869124639,0.917,0.867,5.28477199606216e-13,"4","Ran"
4.21933334672656e-17,0.652330304220509,0.436,0.153,6.8682308218015e-13,"4","Dcbld1"
9.11860123232947e-17,0.360901714308367,1,1,1.48432590859859e-12,"4","Rpl13a"
1.35601502635802e-16,0.428811803901872,1,1,2.20732125990558e-12,"4","Rpl6"
1.41347335272091e-16,0.66757050923262,0.729,0.418,2.3008519235591e-12,"4","Hmgb3"
1.46477444726172e-16,0.422304794135488,1,1,2.38435984525263e-12,"4","Rpl32"
1.66785921219287e-16,0.588185293029301,1,0.99,2.71494122560756e-12,"4","Npm1"
2.56241535500873e-16,0.524646703564478,0.992,0.988,4.17109971488321e-12,"4","Eef1g"
4.30735547097351e-16,0.451862695553847,1,1,7.01151323565068e-12,"4","Rpl17"
5.75232766968953e-16,0.447541688133918,1,0.999,9.36363898072062e-12,"4","Rps26"
7.44180890864248e-16,0.517343654761924,0.571,0.241,1.21137765414882e-11,"4","Tmtc2"
9.62514048584653e-16,0.493442136271691,1,0.995,1.5667803682861e-11,"4","Rpl30"
1.1474182322554e-15,0.422928052869817,0.338,0.094,1.86776739846535e-11,"4","Tmem132c"
1.59826848393471e-15,0.660578134536447,0.707,0.369,2.60166143814893e-11,"4","Lurap1l"
2.31577490455781e-15,0.354124880247098,1,1,3.7696183896392e-11,"4","Rpl21"
2.64041393785569e-15,0.390463834289839,1,1,4.2980658080415e-11,"4","Rps2"
2.7581637081819e-15,0.520134168283552,0.421,0.144,4.48973888417849e-11,"4","Fbxw4"
3.3425772062277e-15,0.898139171826671,0.639,0.365,5.44104717629745e-11,"4","Cks1b"
4.43741137071522e-15,0.375848847868032,1,1,7.22321822925023e-11,"4","Rpl28"
5.70648864057004e-15,0.569862701811351,0.414,0.148,9.28902220911992e-11,"4","Usp1"
6.4380836007057e-15,0.352835916261014,1,1,1.04799124852287e-10,"4","Rps17"
8.12441821774133e-15,0.372018239547755,1,1,1.32249279748393e-10,"4","Rps14"
8.56085991309867e-15,0.634860803809062,0.887,0.707,1.3935367766542e-10,"4","2410006H16Rik"
1.11086568782039e-14,2.00759346588298,0.609,0.362,1.80826716663402e-10,"4","Hmgb2"
1.27066534196319e-14,0.522269763656136,0.526,0.233,2.06838904364768e-10,"4","Pkp4"
1.31824740775521e-14,0.518757712128199,0.985,0.975,2.14584313034392e-10,"4","Snrpg"
1.8088500778644e-14,0.316081734050885,0.256,0.058,2.94444615674767e-10,"4","Prim1"
1.90844865189008e-14,0.649014957764007,0.639,0.361,3.10657271554667e-10,"4","Bzw2"
2.79907780165312e-14,0.64111306747803,0.85,0.536,4.55633884553095e-10,"4","Csrp2"
2.8794031641045e-14,0.326670418436074,1,1,4.68709247052931e-10,"4","Rpl19"
3.84304973819581e-14,0.372991582835748,1,1,6.25571636383513e-10,"4","Rpl39"
5.62749087817819e-14,0.771575798453663,0.617,0.352,9.16042965149845e-10,"4","Tipin"
1.10675129974539e-13,0.74728288515172,0.451,0.19,1.80156976572555e-09,"4","Tmpo"
1.18571054596729e-13,0.496384036126277,0.286,0.08,1.93009962672556e-09,"4","Cenpw"
1.27266089954482e-13,0.598025168445487,0.511,0.232,2.07163741227907e-09,"4","Nasp"
2.38666683876357e-13,0.559634413140006,0.662,0.372,3.88501628013935e-09,"4","Rbmxl1"
3.91305700137145e-13,0.439520106173935,0.368,0.124,6.36967418683245e-09,"4","Ntm"
4.51442220509858e-13,0.619883692249245,0.805,0.583,7.34857646545946e-09,"4","Nap1l1"
5.71661050921222e-13,0.798856230114478,0.368,0.141,9.30549858689566e-09,"4","Smc2"
9.87761007357601e-13,0.381596172911986,1,1,1.6078773677767e-08,"4","Rpl7"
1.0826493889367e-12,0.519705570396697,0.677,0.378,1.76233667531115e-08,"4","Fbl"
